meeting_id,headset_id,speaker_ref,wer,cer,insertions,deletions,substitutions,hits,ref_words,hyp_words,processing_time_sec
ES2002b,0,A,0.4477,0.3539,554,198,156,1674,2028,2384,2479.27
ES2002b,0,D,1.0198,0.7974,170,10,2088,126,2224,2384,2479.27
ES2002b,0,B,1.0515,0.8193,264,16,1966,154,2136,2384,2479.27
ES2002b,0,C,3.0625,2.8014,1664,0,541,179,720,2384,2479.27
ES2002b,1,B,0.1751,0.1144,34,225,115,1796,2136,1945,1030.49
ES2002b,1,D,0.9344,0.7126,2,281,1795,148,2224,1945,1030.49
ES2002b,1,A,0.9527,0.7272,16,99,1817,112,2028,1945,1030.49
ES2002b,1,C,2.4764,2.157,1227,2,554,164,720,1945,1030.49
ES2002b,2,A,0.8669,0.6892,578,366,814,848,2028,2240,1283.16
ES2002b,2,D,0.942,0.7476,66,50,1979,195,2224,2240,1283.16
ES2002b,2,B,0.9888,0.7781,145,41,1926,169,2136,2240,1283.16
ES2002b,2,C,2.4528,2.5244,1623,103,40,577,720,2240,1283.16
